Station ID,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"145-0125","32.855466, -84.959901",2016,2070,Actual,94,94,0,0,0.105,0.5,2990,Short Term
"145-0127","32.846727, -84.917968",2016,1450,Actual,,,0,0,0.103,0.5,1760,Short Term
"145-0129","32.850108, -84.883464",2016,2690,Estimated,,,0,0,0.102,0.5,2990,Short Term
"145-0132","32.860100, -84.863356",2016,1750,Actual,,,0,0,0.109,0.5,2000,Short Term
"145-0134","32.864028, -84.856214",2016,2160,Estimated,79,19,0,0,0.107,0.5,2590,Short Term
"145-0136","32.871575, -84.854617",2016,2830,Estimated,,,0,0,0.0949,0.5,3690,Short Term
"145-0138","32.802754, -84.694937",2016,2020,Actual,,,0,0,0.112,0.5,2500,Short Term
"145-0141","32.811763, -84.696863",2016,2670,Estimated,158,89,0,0,0.113,0.5,3040,Short Term
"145-0143","32.831036, -84.698571",2016,1790,Actual,67,73,0.391,0.279,0.094,0.5,2000,Short Term
"145-0145","32.619679, -84.811378",2016,13900,Actual,,,0,0,0.113,0.7,19000,Short Term
"145-0147","32.642752, -84.784958",2016,6660,Estimated,,,0,0,0.111,0.5,7870,Short Term
"145-0149","32.665073, -84.761975",2016,6580,Actual,188,171,0.182,0.122,0.104,0.6,7810,Short Term
"145-0152","32.682065, -84.739698",2016,5980,Estimated,328,245,0,0,0.114,0.5,7230,Short Term
"145-0154","32.727051, -84.721006",2016,4060,Actual,124,131,0.394,0.123,0.106,0.7,4630,Short Term
"145-0156","32.752567, -84.698461",2016,3590,Estimated,,,0,0,0.106,0.5,4350,Short Term
"145-0158","32.618148, -85.027925",2016,3880,Estimated,,,0,0,0.114,0.5,4750,Short Term
"145-0160","32.744224, -85.081616",2016,,,,,,,,,,Short Term
"145-0161","32.635513, -85.047240",2016,3000,Actual,91,84,0.267,0.133,0.115,0.7,3550,Short Term
"145-0163","32.680778, -85.047741",2016,1530,Estimated,105,60,0,0,0.162,0.5,1620,Short Term
"145-0165","32.713573, -85.022433",2016,940,Actual,43,45,0.851,0.426,0.144,0.6,1060,Short Term
"145-0167","32.743009, -85.054350",2016,2510,Estimated,119,126,0.377,0.252,0.126,0.5,4560,Short Term
"145-0169","32.798045, -85.102550",2016,2440,Actual,53,139,0.205,0.451,0.114,0.5,3590,Short Term
"145-0172","32.849502, -85.127329",2016,3320,Estimated,99,288,0,0,0.0998,0.5,6970,Short Term
"145-0174","32.862085, -85.136147",2016,5040,Actual,235,711,0.298,0.476,0.125,0.7,9730,Short Term
"145-0176","32.747218, -85.019834",2016,2970,Estimated,185,90,0.248,0.177,0.122,0.5,5180,Short Term
"145-0178","32.740742, -84.956109",2016,1190,Actual,61,78,0.84,0.168,0.142,0.6,1940,Short Term
"145-0181","32.752930, -84.901174",2016,1230,Estimated,104,72,0,0,0.131,0.5,1420,Short Term
"145-0183","32.760070, -84.874414",2016,3340,Actual,184,144,0.479,0.12,0.104,0.7,3970,Short Term
"145-0185","32.782495, -84.848389",2016,2690,Actual,,,0,0,0.136,0.5,2990,Short Term
"145-0187","32.795836, -84.792599",2016,1200,Actual,46,23,0.167,0,0.135,0.7,1420,Short Term
"145-0189","32.793120, -84.745574",2016,920,Estimated,77,34,0.343,0.229,0.14,0.8,1020,Short Term
"145-0192","32.804682, -84.697721",2016,1080,Actual,44,35,0.093,0.556,0.115,0.6,1270,Short Term
"145-0194","32.823644, -84.838397",2016,310,Estimated,10,2,0,0,0.14,0.5,370,Short Term
"145-0196","32.694743, -84.797543",2016,2150,Estimated,,,0,0,0.143,0.5,3660,Short Term
"145-0198","32.685153, -84.738774",2016,1270,Estimated,80,27,0,0,0.11,0.5,1380,Short Term
"145-0201","32.689705, -84.730948",2016,3040,Estimated,,,0,0,0.0943,0.5,3840,Short Term
"145-0203","32.784723, -85.021564",2016,440,Estimated,53,32,0.957,0.478,0.129,0.6,500,Short Term
"145-0205","32.852169, -85.036540",2016,3380,Actual,121,157,0.148,0.355,0.104,0.6,5890,Short Term
